date,symbol,decision
2025-02-28,TECHM,EXIT
2025-03-04,HDFCBANK,HOLD
2025-03-06,EICHERMOT,REDUCE
2025-03-06,HINDALCO,REDUCE
2025-03-07,EICHERMOT,HOLD
2025-03-11,HDFCBANK,EXIT
2025-03-11,ICICIBANK,REDUCE
2025-03-12,HDFCBANK,REDUCE
2025-03-12,ICICIBANK,HOLD
2025-03-12,WIPRO,EXIT
2025-03-13,HDFCBANK,HOLD
2025-03-17,TATASTEEL,REDUCE
2025-03-18,TATASTEEL,EXIT
2025-03-19,BEL,REDUCE
2025-03-19,HDFCLIFE,REDUCE
2025-03-19,MAXHEALTH,REDUCE
2025-03-19,SUNPHARMA,REDUCE
2025-03-19,TATASTEEL,REDUCE
2025-03-20,MAXHEALTH,HOLD
2025-03-21,CIPLA,REDUCE
2025-03-24,NTPC,REDUCE
2025-03-25,INDIGO,HOLD
2025-03-25,ULTRACEMCO,REDUCE
2025-03-27,GRASIM,REDUCE
2025-04-02,TATACONSUM,REDUCE
2025-04-04,BEL,EXIT
2025-04-04,CIPLA,EXIT
2025-04-04,HINDALCO,EXIT
2025-04-04,NTPC,EXIT
2025-04-04,SUNPHARMA,EXIT
2025-04-04,TATASTEEL,EXIT
2025-04-07,GRASIM,EXIT
2025-04-07,JSWSTEEL,EXIT
2025-04-07,TATACONSUM,EXIT
2025-04-07,ULTRACEMCO,EXIT
2025-04-08,APOLLOHOSP,REDUCE
2025-04-08,TATACONSUM,REDUCE
2025-04-09,ULTRACEMCO,REDUCE
2025-04-11,GRASIM,REDUCE
2025-04-11,NESTLEIND,REDUCE
2025-04-11,SHRIRAMFIN,HOLD
2025-04-15,BEL,REDUCE
2025-04-15,JSWSTEEL,REDUCE
2025-04-16,AXISBANK,REDUCE
2025-04-16,JSWSTEEL,HOLD
2025-04-17,SBILIFE,REDUCE
2025-04-17,SBIN,REDUCE
2025-04-21,POWERGRID,REDUCE
2025-04-22,CIPLA,REDUCE
2025-04-24,SUNPHARMA,REDUCE
2025-04-28,RELIANCE,REDUCE
2025-05-05,ADANIPORTS,REDUCE
2025-05-07,M&M,REDUCE
2025-05-09,TITAN,REDUCE
2025-05-12,BEL,HOLD
2025-05-12,LT,REDUCE
2025-05-12,TATASTEEL,REDUCE
2025-05-13,HDFCLIFE,HOLD
2025-05-16,TATACONSUM,HOLD
2025-05-19,GRASIM,HOLD
2025-05-19,ULTRACEMCO,HOLD
2025-05-20,TATASTEEL,HOLD
2025-05-21,AXISBANK,HOLD
2025-05-22,SBILIFE,HOLD
2025-05-30,RELIANCE,HOLD
2025-06-03,ADANIPORTS,HOLD
2025-06-04,NESTLEIND,HOLD
2025-06-04,SBIN,HOLD
2025-06-06,DRREDDY,REDUCE
2025-06-09,ADANIENT,REDUCE
2025-06-10,TECHM,REDUCE
2025-06-10,TITAN,HOLD
2025-06-12,M&M,HOLD
2025-06-13,MARUTI,REDUCE
2025-06-16,HCLTECH,REDUCE
2025-06-18,MARUTI,HOLD
2025-06-23,HINDALCO,REDUCE
2025-06-25,LT,HOLD
