,equity,benchmark
2022-04-13,1071023.8536181464,1247814.6738808018
2022-04-18,1071023.8536181464,1230299.062166174
2022-04-19,1071023.8536181464,1213863.2846939713
2022-04-20,1071023.8536181464,1224055.2617549596
2022-04-21,1071023.8536181464,1240841.4319559939
2022-04-22,1071023.8536181464,1227727.3421355183
2022-04-25,1071023.8536181464,1209441.0757032626
2022-04-26,1071023.8536181464,1228015.8345637594
2022-04-27,1071023.8536181464,1216282.4675729761
2022-04-28,1071023.8536181464,1229297.6296048611
2022-04-29,1071023.8536181464,1218536.797635843
2022-05-02,1071023.8536181464,1214658.6512351122
2022-05-04,1071023.8536181464,1186390.5789835358
2022-05-05,1071023.8536181464,1186567.8279586995
2022-05-06,1071023.8536181464,1165981.8325435075
2022-05-09,1071023.8536181464,1153288.1657009064
2022-05-10,1071023.8536181464,1142094.6755840662
2022-05-11,1071023.8536181464,1135158.5416417972
2022-05-12,1071023.8536181464,1109890.742347203
2022-05-13,1071023.8536181464,1110405.9073976332
2022-05-16,1071023.8536181464,1118623.836381004
2022-05-17,1071023.8536181464,1147872.7345918762
2022-05-18,1071023.8536181464,1147225.7194863514
2022-05-19,1071023.8536181464,1116950.5963961144
2022-05-20,1071023.8536181464,1145317.515941742
2022-05-23,1071023.8536181464,1140433.7512636636
2022-05-24,1071023.8536181464,1133134.989422615
2022-05-25,1071023.8536181464,1119987.9773356356
2022-05-26,1071023.8536181464,1131099.0410444068
2022-05-27,1071023.8536181464,1143512.425901758
2022-05-30,1071023.8536181464,1166727.7754376226
2022-05-31,1071023.8536181464,1163826.3497746917
2022-06-01,1071023.8536181464,1160801.3649941967
2022-06-02,1071023.8536181464,1167811.7149015435
2022-06-03,1071023.8536181464,1160389.2329538525
2022-06-06,1071023.8536181464,1158427.4200461828
2022-06-07,1071023.8536181464,1148659.8906900256
2022-06-08,1071023.8536181464,1144645.7890127045
2022-06-09,1071023.8536181464,1152080.5866248824
2022-06-10,1071023.8536181464,1135978.6200064507
2022-06-13,1071023.8536181464,1105905.4577148904
2022-06-14,1071023.8536181464,1103548.014147398
2022-06-15,1071023.8536181464,1102933.9213083775
2022-06-16,1071023.8536181464,1078894.3076918246
2022-06-17,1071023.8536181464,1071109.1978453542
2022-06-20,1071023.8536181464,1067482.4358903256
2022-06-21,1071023.8536181464,1091480.8363028439
2022-06-22,1071023.8536181464,1075477.7169784636
2022-06-23,1071023.8536181464,1086279.6816569767
2022-06-24,1071023.8536181464,1098124.3725953766
2022-06-27,1071023.8536181464,1108184.4996012703
2022-06-28,1071023.8536181464,1109808.3159391342
2022-06-29,1071023.8536181464,1105983.6984069245
2022-06-30,1071023.8536181464,1103486.1943413466
2022-07-01,1071023.8536181464,1104054.968754837
2022-07-04,1071023.8536181464,1110500.729964728
2022-07-05,1071023.8536181464,1109610.4603619534
2022-07-06,1071023.8536181464,1123577.6313081256
2022-07-07,1071023.8536181464,1134647.4818128624
2022-07-08,1071023.8536181464,1139811.4479816516
2022-07-11,1071023.8536181464,1144641.60329667
2022-07-12,1071023.8536181464,1135751.9473842615
2022-07-13,1071023.8536181464,1131461.7494377254
2022-07-14,1071023.8536181464,1129458.8038205605
2022-07-15,1071023.8536181464,1136675.1392535402
2022-07-18,1071023.8536181464,1152682.3637994162
2022-07-19,1071023.8536181464,1158225.5397420456
2022-07-20,1071023.8536181464,1167519.117251807
2022-07-21,1071023.8536181464,1176371.6651816764
2022-07-22,1071023.8536181464,1181712.8803256294
2022-07-25,1071023.8536181464,1177006.3646227145
2022-07-26,1071023.8536181464,1165627.4150877192
2022-07-27,1071023.8536181464,1175609.2209070397
2022-07-28,1071023.8536181464,1192634.37939475
2022-07-29,1071023.8536181464,1208835.2738017724
2022-08-01,1071023.8536181464,1223770.8745482143
2022-08-02,1071023.8536181464,1226223.0601882623
2022-08-03,1071023.8536181464,1226342.5945788699
2022-08-04,1071023.8536181464,1227529.5670528766
2022-08-05,1071023.8536181464,1228184.8730959317
2022-08-08,1071023.8536181464,1235846.3433302988
2022-08-10,1071023.8536181464,1235224.040048287
2022-08-11,1071023.8536181464,1244237.4160673379
2022-08-12,1071023.8536181464,1247979.5266969395
2022-08-16,1071023.8536181464,1259515.0381105419
2022-08-17,1071023.8536181464,1267638.144526818
2022-08-18,1071023.8536181464,1269744.1231540688
2022-08-19,1071023.8536181464,1255900.7528090782
2022-08-22,1071023.8536181464,1236538.7573558928
2022-08-23,1071023.8536181464,1243854.101072002
2022-08-24,1071023.8536181464,1247967.2110324528
2022-08-25,1071023.8536181464,1244690.7613117164
2022-08-26,1071023.8536181464,1248556.5115534214
2022-08-29,1071023.8536181464,1234148.3915218965
2022-08-30,1071023.8536181464,1263187.1184911008
2022-09-01,1071023.8536181464,1253802.9846248184
2022-09-02,1071023.8536181464,1253011.642810634
2022-09-05,1071023.8536181464,1260660.7973805144
2022-09-06,1071023.8536181464,1262198.0015942748
2022-09-07,1071023.8536181464,1262721.4575822353
2022-09-08,1071023.8536181464,1272719.7647820774
2022-09-09,1071023.8536181464,1274920.5659764232
2022-09-12,1071023.8536181464,1283987.4708639954
2022-09-13,1071023.8536181464,1291607.727894328
2022-09-14,1071023.8536181464,1288380.7823151564
2022-09-15,1071023.8536181464,1284230.564372167
2022-09-16,1071023.8536181464,1256502.449489073
2022-09-19,1071023.8536181464,1260590.6866369324
2022-09-20,1071023.8536181464,1275163.659484595
2022-09-21,1071023.8536181464,1266170.9705621004
2022-09-22,1071023.8536181464,1264031.9891738063
2022-09-23,1071023.8536181464,1241146.4257647563
2022-09-26,1071023.8536181464,1213784.963507398
2022-09-27,1071023.8536181464,1213916.8135624926
2022-09-28,1071023.8536181464,1205121.89972264
2022-09-29,1071023.8536181464,1203630.0139344095
2022-09-30,1071023.8536181464,1222328.4124070096
2022-10-03,1071023.8536181464,1206597.3646248877
2022-10-04,1071023.8536181464,1233575.5118869103
2022-10-06,1071023.8536181464,1240767.2159909164
2022-10-07,1071023.8536181464,1239419.5764168063
2022-10-10,1071023.8536181464,1232409.2265094595
2022-10-11,1071023.8536181464,1213471.7592556444
2022-10-12,1071023.8536181464,1222377.9165485743
2022-10-13,1071023.8536181464,1214164.092786699
2022-10-14,1071023.8536181464,1221153.8360920288
2022-10-17,1071023.8536181464,1228658.8249423276
2022-10-18,1071023.8536181464,1241055.7084191572
2022-10-19,1071023.8536181464,1242048.9305374788
2022-10-20,1071023.8536181464,1245634.4792884733
2022-10-21,1071023.8536181464,1243079.2606383392
2022-10-24,1071023.8536181464,1252776.7597454537
2022-10-25,1071023.8536181464,1249426.0940596398
2022-10-27,1071023.8536181464,1256527.1613125857
2022-10-28,1071023.8536181464,1256308.6991333875
2022-10-31,1071023.8536181464,1271343.22766842
2022-11-01,1071023.8536181464,1280690.4145412417
2022-11-02,1071023.8536181464,1277405.6738829752
2022-11-03,1071023.8536181464,1276346.5267371063
2022-11-04,1071023.8536181464,1280150.4571727596
2022-11-07,1071023.8536181464,1287099.0677685938
2022-11-09,1071023.8536181464,1283150.810624281
2022-11-10,1071023.8536181464,1272662.0501975215
2022-11-11,1071023.8536181464,1289897.3799268997
2022-11-14,1071023.8536181464,1289988.0972724988
2022-11-15,1071023.8536181464,1293590.1474040148
2022-11-16,1071023.8536181464,1291067.8510203848
2022-11-17,1071023.8536181464,1285623.602866346
2022-11-18,1071023.8536181464,1281798.9853341363
2022-11-21,1071023.8536181464,1273799.5185299634
2022-11-22,1071023.8536181464,1278365.9737347928
2022-11-23,1071023.8536181464,1280752.2343472934
2022-11-24,1071023.8536181464,1292510.3131615894
2022-11-25,1071023.8536181464,1296339.035915295
2022-11-28,1071023.8536181464,1301053.8425557401
2022-11-29,1071023.8536181464,1303361.7819816675
2022-11-30,1071023.8536181464,1314382.208839379
2022-12-01,1071023.8536181464,1319146.4391268499
2022-12-02,1071023.8536181464,1315812.2748215576
2022-12-05,1071023.8536181464,1316117.2686303202
2022-12-06,1071023.8536181464,1312461.6091357437
2022-12-07,1071023.8536181464,1307445.9944025706
2022-12-08,1071023.8536181464,1311493.098840935
2022-12-09,1071023.8536181464,1303386.4938051803
2022-12-12,1071023.8536181464,1304643.4965282301
2022-12-13,1071023.8536181464,1310949.1167454962
2022-12-14,1071023.8536181464,1315836.9866450704
2022-12-15,1071023.8536181464,1301000.2331926797
2022-12-16,1071023.8536181464,1288846.443224022
2022-12-19,1071023.8536181464,1298642.8701197268
2022-12-20,1071023.8536181464,1296252.5042857304
2022-12-21,1071023.8536181464,1279878.4661250403
2022-12-22,1071023.8536181464,1271961.4257289362
2022-12-23,1071023.8536181464,1240186.1259129387
2022-12-27,1071023.8536181464,1270877.4862650156
2022-12-28,1071023.8536181464,1272068.563960518
2022-12-29,1071023.8536181464,1276387.7399411406
2022-12-30,1071023.8536181464,1273391.491711115
2023-01-02,1071023.8536181464,1279558.741815617
2023-01-03,1071023.8536181464,1282373.5553544443
2023-01-04,1071023.8536181464,1268789.6994036078
2023-01-05,1071023.8536181464,1268229.2159276477
2023-01-06,1071023.8536181464,1258816.1040272785
2023-01-09,1071023.8536181464,1273496.2151065227
2023-01-10,1071023.8536181464,1263205.310256944
2023-01-11,1071023.8536181464,1261235.2869062833
2023-01-12,1071023.8536181464,1259442.512530786
2023-01-13,1071023.8536181464,1264923.8686673637
2023-01-16,1071023.8536181464,1261573.283476089
2023-01-17,1071023.8536181464,1269049.3747868403
2023-01-18,1071023.8536181464,1274835.6442376412
2023-01-19,1071023.8536181464,1270990.5005979536
2023-01-20,1071023.8536181464,1265072.300597519
2023-01-23,1071023.8536181464,1269630.4648648177
2023-01-24,1071023.8536181464,1268422.8857887937
2023-01-25,1071023.8536181464,1250569.3579988992
2023-01-27,1071023.8536181464,1226072.2134219331
2023-01-30,1071023.8536181464,1224378.3668350263
2023-01-31,1071023.8536181464,1231079.617712115
2023-02-01,1071023.8536181464,1223838.4899610833
2023-02-02,1071023.8536181464,1223158.4720945153
2023-02-03,1071023.8536181464,1233292.7345709475
2023-02-06,1071023.8536181464,1230968.3742590377
2023-02-07,1071023.8536181464,1228334.8344223304
2023-02-08,1071023.8536181464,1238728.772281995
2023-02-09,1071023.8536181464,1238877.1237176112
2023-02-10,1071023.8536181464,1237702.5474026303
2023-02-13,1071023.8536181464,1228194.6934297057
2023-02-14,1071023.8536181464,1233832.6919394296
2023-02-15,1071023.8536181464,1239664.3603103
2023-02-16,1071023.8536181464,1243299.3327083199
2023-02-17,1071023.8536181464,1236721.7214433346
2023-02-20,1071023.8536181464,1231339.2930953475
2023-02-21,1071023.8536181464,1229303.3447171394
2023-02-22,1071023.8536181464,1211824.8409850502
2023-02-23,1071023.8536181464,1208927.5205436149
2023-02-24,1071023.8536181464,1205935.458029624
2023-02-27,1071023.8536181464,1199197.0991699966
2023-02-28,1071023.8536181464,1196728.412149427
2023-03-01,1071023.8536181464,1208770.8781704686
2023-03-02,1071023.8536181464,1202374.6211021424
2023-03-03,1071023.8536181464,1217829.5726150493
2023-03-06,1071023.8536181464,1226587.3784723633
2023-03-08,1071023.8536181464,1229962.75598169
2023-03-09,1071023.8536181464,1220236.4398295672
2023-03-10,1071023.8536181464,1210007.2742915011
2023-03-13,1071023.8536181464,1191428.4102095086
2023-03-14,1071023.8536181464,1183523.6854778915
2023-03-15,1071023.8536181464,1180370.8753692585
2023-03-16,1071023.8536181464,1181199.2446714425
2023-03-17,1071023.8536181464,1188658.8346016724
